akka-stream-alpakka-spring-web,,71,98,146,94,235,200,309,131,124,120,286,321
,
akka-stream-alpakka-sqs,2.11,449,442,540,569,820,396,415,341,304,259,296,310
akka-stream-alpakka-sqs,2.12,1217,1373,1521,1286,1589,1754,2263,1751,3842,2623,3092,2945
akka-stream-alpakka-sqs,2.13,0,0,0,0,0,0,29,37,42,91,71,128
akka-stream-alpakka-sqs,,1666,1815,2061,1855,2409,2150,2707,2129,4188,2973,3459,3383
,
akka-stream-alpakka-sse,2.11,34,58,85,50,66,70,139,138,90,64,66,85
akka-stream-alpakka-sse,2.12,92,112,159,122,161,164,210,142,198,210,206,182
akka-stream-alpakka-sse,2.13,0,0,0,0,0,0,19,14,13,22,27,80
akka-stream-alpakka-sse,,126,170,244,172,227,234,368,294,301,296,299,347
,
akka-stream-alpakka-text,2.11,37,34,59,58,43,75,74,125,725,230,19,31
akka-stream-alpakka-text,2.12,25,33,100,387,378,355,346,349,334,971,858,990
akka-stream-alpakka-text,2.13,0,0,0,0,0,0,22,12,12,19,14,18
akka-stream-alpakka-text,,62,67,159,445,421,430,442,486,1071,1220,891,1039
,
akka-stream-alpakka-udp,2.11,17,16,31,16,17,15,59,20,8,14,14,31
akka-stream-alpakka-udp,2.12,37,31,61,75,55,67,98,54,49,65,50,83
akka-stream-alpakka-udp,2.13,0,0,0,0,0,0,21,13,8,17,15,21
akka-stream-alpakka-udp,,54,47,92,91,72,82,178,87,65,96,79,135
,
akka-stream-alpakka-unix-domain-socket,2.11,23,27,47,19,19,20,65,23,6,22,28,31
akka-stream-alpakka-unix-domain-socket,2.12,3391,2275,3823,5308,4750,7103,3484,4616,1193,398,1161,3693
akka-stream-alpakka-unix-domain-socket,2.13,0,0,0,0,0,0,18,11,8,14,16,19
akka-stream-alpakka-unix-domain-socket,,3414,2302,3870,5327,4769,7123,3567,4650,1207,434,1205,3743
,
akka-stream-alpakka-xml,2.11,36,62,81,32,27,37,89,33,39,33,27,53
akka-stream-alpakka-xml,2.12,192,368,391,508,525,491,782,721,1071,772,886,543
akka-stream-alpakka-xml,2.13,0,0,0,0,0,0,30,22,11,30,28,109
akka-stream-alpakka-xml,,228,430,472,540,552,528,901,776,1121,835,941,705
,
